_fdp__id_,activity1_code,activity1_label,activity2_code,activity2_label,activity3_code,activity3_label
1,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501000,ADMINISTRACIJA I UPRAVLJANJE
2,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501004,ODRŽAVANJE ZGRADE (NARODNO SVEUČILIŠTE OTOČAC)
3,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501026,OBILJEŽAVANJE SPOMENDANA BLEIBURŠKE TRAGEDIJE I KRIŽNOG PUTA
4,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501029,OBVEZE PO SUDSKIM SPOROVIMA
5,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501032,SPOMEN PODRUČJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIČKE BORBE U RH
6,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,A501037,OBILJEŽAVANJE SJEĆANJA NA ŽRTVE SVIH TOTALITARNIH I AUTORITARNIH REŽIMA
7,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,K501013,INFORMATIZACIJA HRVATSKOG SABORA
8,21,POLITIČKI SUSTAV,2101,PROVOĐENJE ZAKONODAVNE VLASTI,K501027,SABORSKA TELEVIZIJA
9,21,POLITIČKI SUSTAV,2104,DJELOVANJE PREDSJEDNICE REPUBLIKE HRVATSKE,A504000,ADMINISTRACIJA I UPRAVLJANJE
10,21,POLITIČKI SUSTAV,2104,DJELOVANJE PREDSJEDNICE REPUBLIKE HRVATSKE,A504001,TEHNIČKI I POMOĆNI POSLOVI UREDA PREDSJEDNICE
11,21,POLITIČKI SUSTAV,2104,DJELOVANJE PREDSJEDNICE REPUBLIKE HRVATSKE,A504023,OBVEZE PO SUDSKIM SPOROVIMA
12,21,POLITIČKI SUSTAV,2104,DJELOVANJE PREDSJEDNICE REPUBLIKE HRVATSKE,A504027,INAUGURACIJA
13,21,POLITIČKI SUSTAV,2104,DJELOVANJE PREDSJEDNICE REPUBLIKE HRVATSKE,K504004,INFORMATIZACIJA
14,21,POLITIČKI SUSTAV,2104,DJELOVANJE PREDSJEDNICE REPUBLIKE HRVATSKE,K504016,UREĐENJE OKOLIŠA PREDSJEDNIČKIH DVORA
15,21,POLITIČKI SUSTAV,2106,DJELOVANJE USTAVNOG SUDA,A506000,ADMINISTRACIJA I UPRAVLJANJE
16,21,POLITIČKI SUSTAV,2106,DJELOVANJE USTAVNOG SUDA,A506037,MEĐUNARODNA SURADNJA
17,21,POLITIČKI SUSTAV,2106,DJELOVANJE USTAVNOG SUDA,A506039,OTVARANJE USTAVNOG SUDA JAVNOSTI
18,21,POLITIČKI SUSTAV,2106,DJELOVANJE USTAVNOG SUDA,K506003,INFORMATIZACIJA
19,21,POLITIČKI SUSTAV,2106,DJELOVANJE USTAVNOG SUDA,K506036,OBNOVA VOZNOG PARKA
20,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A508000,ADMINISTRACIJA I UPRAVLJANJE
21,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A508015,NAKNADE ZASLUŽNIM OSOBAMA
22,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A508024,ODRŽAVANJE FUNKCIONALNOSTI I PROGRAMSKIH RJEŠENJA INFORMACIJSKOG SUSTAVA VRH
23,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A508025,OBVEZE PO SUDSKIM SPOROVIMA
24,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A686000,ADMINISTRACIJA I UPRAVLJANJE
25,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A687000,ADMINISTRACIJA I UPRAVLJANJE
26,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,A696002,ADMINISTRACIJA I UPRAVLJANJE
27,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,K508012,INFORMATIZACIJA I TEHNIČKI SUSTAVI U VLADI RH
28,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,K686009,INFORMATIZACIJA UREDA ZA PROTOKOL
29,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,K687003,INFORMATIZACIJA UREDA VLADE REPUBLIKE HRVATSKE ZA UNUTARNJU REVIZIJU
30,21,POLITIČKI SUSTAV,2107,PRUŽANJE PODRŠKE RADU VLADE REPUBLIKE HRVATSKE,K696012,INFORMATIZACIJA
31,21,POLITIČKI SUSTAV,2108,RAZVOJ CIVILNOG DRUŠTVA I SURADNJA S NEVLADINIM ORGANIZACIJAMA,A509000,ADMINISTRACIJA I UPRAVLJANJE
