_fdp__id_,admin1_code,admin1_label,admin2_code,admin2_label
1,010,HRVATSKI SABOR,01005,Hrvatski sabor
2,012,DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE,01205,Državno izborno povjerenstvo Republike Hrvatske
3,015,URED PREDSJEDNICE REPUBLIKE HRVATSKE,01505,Ured Predsjednice Republike Hrvatske
4,017,USTAVNI SUD REPUBLIKE HRVATSKE,01705,Ustavni sud Republike Hrvatske
5,018,AGENCIJA ZA ZAŠTITU TRŽIŠNOG NATJECANJA,01805,Agencija za zaštitu tržišnog natjecanja
6,020,VLADA REPUBLIKE HRVATSKE,02005,Vlada Republike Hrvatske
7,020,VLADA REPUBLIKE HRVATSKE,02006,Ured predsjednika Vlade Republike Hrvatske
8,020,VLADA REPUBLIKE HRVATSKE,02010,Ured za udruge
9,020,VLADA REPUBLIKE HRVATSKE,02015,Ured zastupnika Republike Hrvatske pred Europskim sudom za ljudska prava
10,020,VLADA REPUBLIKE HRVATSKE,02021,Stručna služba Savjeta za nacionalne manjine
11,020,VLADA REPUBLIKE HRVATSKE,02030,Ured za zakonodavstvo
12,020,VLADA REPUBLIKE HRVATSKE,02035,Ured za opće poslove Hrvatskoga sabora i Vlade Republike Hrvatske
13,020,VLADA REPUBLIKE HRVATSKE,02042,Ured za protokol
14,020,VLADA REPUBLIKE HRVATSKE,02044,Ured Vlade Republike Hrvatske za unutarnju reviziju
15,020,VLADA REPUBLIKE HRVATSKE,02046,Direkcija za korištenje službenih zrakoplova
16,020,VLADA REPUBLIKE HRVATSKE,02087,Ured za ljudska prava i prava nacionalnih manjina
17,020,VLADA REPUBLIKE HRVATSKE,02090,Ured za suzbijanje zlouporabe droga
18,020,VLADA REPUBLIKE HRVATSKE,02091,Ured Komisije za odnose s vjerskim zajednicama
19,020,VLADA REPUBLIKE HRVATSKE,02092,Ured za ravnopravnost spolova
20,020,VLADA REPUBLIKE HRVATSKE,02099,Ured za razminiranje
21,025,MINISTARSTVO FINANCIJA,02505,Ministarstvo financija
22,025,MINISTARSTVO FINANCIJA,02506,Ministarstvo financija - ostali izdaci države
23,025,MINISTARSTVO FINANCIJA,02510,Carinska uprava
24,025,MINISTARSTVO FINANCIJA,02515,Porezna uprava
25,025,MINISTARSTVO FINANCIJA,02540,Agencija za reviziju sustava provedbe programa Europske unije
26,025,MINISTARSTVO FINANCIJA,02545,Fond za naknadu oduzete imovine
27,025,MINISTARSTVO FINANCIJA,02555,Odbor za standarde financijskog izvještavanja
28,028,SREDIŠNJI DRŽAVNI URED ZA SREDIŠNJU JAVNU NABAVU,02805,Središnji državni ured za središnju javnu nabavu
29,030,MINISTARSTVO OBRANE,03005,Ministarstvo obrane
30,032,SREDIŠNJI DRŽAVNI URED ZA HRVATE IZVAN REPUBLIKE HRVATSKE,03205,Središnji državni ured za Hrvate izvan Republike Hrvatske
31,032,SREDIŠNJI DRŽAVNI URED ZA HRVATE IZVAN REPUBLIKE HRVATSKE,03210,Hrvatska matica iseljenika
32,033,SREDIŠNJI DRŽAVNI URED ZA OBNOVU I STAMBENO ZBRINJAVANJE,03305,Središnji državni ured za obnovu i stambeno zbrinjavanje
33,034,SREDIŠNJI DRŽAVNI URED ZA RAZVOJ DIGITALNOG DRUŠTVA,03405,Središnji državni ured za razvoj digitalnog društva
34,036,SREDIŠNJI DRŽAVNI URED ZA ŠPORT,03605,Središnji državni ured za šport
35,040,MINISTARSTVO UNUTARNJIH POSLOVA,04005,Ministarstvo unutarnjih poslova
36,040,MINISTARSTVO UNUTARNJIH POSLOVA,04035,Hrvatski centar za razminiranje
37,040,MINISTARSTVO UNUTARNJIH POSLOVA,04040,Agencija za prostore ugrožene eksplozivnom atmosferom
38,040,MINISTARSTVO UNUTARNJIH POSLOVA,21908,Hrvatska vatrogasna zajednica
39,040,MINISTARSTVO UNUTARNJIH POSLOVA,28305,Državna uprava za zaštitu i spašavanje
40,041,MINISTARSTVO HRVATSKIH BRANITELJA,04105,Ministarstvo hrvatskih branitelja
41,041,MINISTARSTVO HRVATSKIH BRANITELJA,04110,"Javna ustanova ""Memorijalni centar Domovinskog rata Vukovar"""
42,041,MINISTARSTVO HRVATSKIH BRANITELJA,04115,Dom hrvatskih veterana
43,048,MINISTARSTVO VANJSKIH I EUROPSKIH POSLOVA,04805,Ministarstvo vanjskih i europskih poslova
44,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04905,"Ministarstvo gospodarstva, poduzetništva i obrta"
45,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04910,Ravnateljstvo za robne zalihe
46,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04970,Državni zavod za mjeriteljstvo
47,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04980,Hrvatski zavod za norme
48,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04985,Hrvatska akreditacijska agencija
49,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04990,"Hrvatska agencija za malo gospodarstvo, inovacije i investicije, HAMAG-BICRO"
50,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",04995,Hrvatski centar za zadružno poduzetništvo
51,049,"MINISTARSTVO GOSPODARSTVA, PODUZETNIŠTVA I OBRTA",47641,Agencija za investicije i konkurentnost
52,052,POVJERENSTVO ZA ODLUČIVANJE O SUKOBU INTERESA,05205,Povjerenstvo za odlučivanje o sukobu interesa
53,054,MINISTARSTVO DRŽAVNE IMOVINE,05405,Ministarstvo državne imovine
54,055,MINISTARSTVO KULTURE,01046,Ansambl Lado
55,055,MINISTARSTVO KULTURE,05505,Ministarstvo kulture
56,055,MINISTARSTVO KULTURE,05535,Arhivi
57,055,MINISTARSTVO KULTURE,05540,Muzeji i galerije
58,055,MINISTARSTVO KULTURE,22339,Hrvatski restauratorski zavod
59,055,MINISTARSTVO KULTURE,23585,Hrvatska knjižnica za slijepe
60,055,MINISTARSTVO KULTURE,25878,Hrvatsko narodno kazalište
61,055,MINISTARSTVO KULTURE,44926,Hrvatski audiovizualni centar
62,055,MINISTARSTVO KULTURE,45189,Međunarodni centar za podvodnu arheologiju
63,055,MINISTARSTVO KULTURE,49075,Agencija za elektroničke medije
64,060,MINISTARSTVO POLJOPRIVREDE,06005,Ministarstvo poljoprivrede
65,060,MINISTARSTVO POLJOPRIVREDE,06025,Hrvatska agencija za hranu
66,060,MINISTARSTVO POLJOPRIVREDE,06030,"Agencija za plaćanja u poljoprivredi, ribarstvu i ruralnom razvoju"
67,060,MINISTARSTVO POLJOPRIVREDE,06035,"Hrvatski centar za poljoprivredu, hranu i selo"
68,060,MINISTARSTVO POLJOPRIVREDE,06040,Agencija za poljoprivredno zemljište
69,060,MINISTARSTVO POLJOPRIVREDE,06045,Hrvatska poljoprivredna agencija
70,060,MINISTARSTVO POLJOPRIVREDE,06050,Savjetodavna služba
71,061,MINISTARSTVO REGIONALNOGA RAZVOJA I FONDOVA EUROPSKE UNIJE,06105,Ministarstvo regionalnoga razvoja i fondova Europske unije
72,061,MINISTARSTVO REGIONALNOGA RAZVOJA I FONDOVA EUROPSKE UNIJE,06110,Fond za obnovu i razvoj Grada Vukovara
73,061,MINISTARSTVO REGIONALNOGA RAZVOJA I FONDOVA EUROPSKE UNIJE,06120,Agencija za regionalni razvoj Republike Hrvatske
74,061,MINISTARSTVO REGIONALNOGA RAZVOJA I FONDOVA EUROPSKE UNIJE,06125,Središnja agencija za financiranje i ugovaranje programa i projekata Europske unije
75,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",06505,"Ministarstvo mora, prometa i infrastrukture"
76,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",06545,Agencija za obalni linijski pomorski promet
77,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",06550,Agencija za vodne putove
78,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",06560,Hrvatski hidrografski institut
79,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",06565,Hrvatska regulatorna agencija za mrežne djelatnosti
80,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",45228,Agencija za sigurnost željezničkog prometa
81,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",48031,"Agencija za istraživanje nesreća u zračnom, pomorskom i željezničkom prometu"
82,065,"MINISTARSTVO MORA, PROMETA I INFRASTRUKTURE",49083,Hrvatska agencija za civilno zrakoplovstvo
83,076,MINISTARSTVO GRADITELJSTVA I PROSTORNOGA UREĐENJA,07605,Ministarstvo graditeljstva i prostornoga uređenja
84,076,MINISTARSTVO GRADITELJSTVA I PROSTORNOGA UREĐENJA,07610,Hrvatski zavod za prostorni razvoj
85,076,MINISTARSTVO GRADITELJSTVA I PROSTORNOGA UREĐENJA,07615,Agencija za ozakonjenje nezakonito izgrađenih zgrada
86,076,MINISTARSTVO GRADITELJSTVA I PROSTORNOGA UREĐENJA,07620,Agencija za pravni promet i posredovanje nekretninama
87,076,MINISTARSTVO GRADITELJSTVA I PROSTORNOGA UREĐENJA,07625,Državna geodetska uprava
88,076,MINISTARSTVO GRADITELJSTVA I PROSTORNOGA UREĐENJA,07630,Agencija za obnovu osječke Tvrđe
89,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07705,Ministarstvo zaštite okoliša i energetike
90,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07715,Nacionalni parkovi i parkovi prirode
91,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07720,Državni hidrometeorološki zavod
92,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07730,Hrvatska agencija za okoliš i prirodu
93,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07740,Centar za praćenje poslovanja energetskog sektora i investicija
94,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07745,Agencija za ugljikovodike
95,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07750,Hrvatska energetska regulatorna agencija - HERA
96,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08005,Ministarstvo znanosti i obrazovanja
97,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08006,Sveučilišta i veleučilišta u Republici Hrvatskoj
98,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08008,Javni instituti u Republici Hrvatskoj
99,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08012,Državni zavod za intelektualno vlasništvo
100,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,21836,Nacionalna i sveučilišna knjižnica
101,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,21852,Hrvatska akademska i istraživačka mreža Carnet
102,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,21869,Leksikografski zavod Miroslav Krleža
103,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,23665,Sveučilišni računski centar SRCE
104,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,23962,Agencija za odgoj i obrazovanje
105,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,38487,Agencija za znanost i visoko obrazovanje
106,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,40883,Nacionalni centar za vanjsko vrednovanje obrazovanja
107,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,43335,Agencija za mobilnost i programe Europske unije
108,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,45871,Hrvatski mjeriteljski institut
109,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,46173,Agencija za strukovno obrazovanje i obrazovanje odraslih
110,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08605,Ministarstvo rada i mirovinskoga sustava
111,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08620,Hrvatski zavod za mirovinsko osiguranje
112,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08625,Hrvatski zavod za zapošljavanje
113,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08635,"Zavod za vještačenje, profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom"
114,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08640,Zavod za unapređivanje zaštite na radu
115,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08645,Središnji registar osiguranika
116,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08650,Agencija za osiguranje radničkih tražbina
117,090,MINISTARSTVO TURIZMA,09005,Ministarstvo turizma
118,095,MINISTARSTVO UPRAVE,09505,Ministarstvo uprave
119,095,MINISTARSTVO UPRAVE,09510,Uredi državne uprave u županijama
120,095,MINISTARSTVO UPRAVE,09515,Državna škola za javnu upravu
121,096,MINISTARSTVO ZDRAVSTVA,09605,Ministarstvo zdravstva
122,096,MINISTARSTVO ZDRAVSTVA,23616,Imunološki zavod
123,096,MINISTARSTVO ZDRAVSTVA,26346,Hrvatski zavod za javno zdravstvo
124,096,MINISTARSTVO ZDRAVSTVA,26354,Hrvatski zavod za transfuzijsku medicinu
125,096,MINISTARSTVO ZDRAVSTVA,26379,Klinički bolnički centar Rijeka
126,096,MINISTARSTVO ZDRAVSTVA,26387,Klinička bolnica Merkur
127,096,MINISTARSTVO ZDRAVSTVA,26395,Klinički bolnički centar Sestre milosrdnice
128,096,MINISTARSTVO ZDRAVSTVA,26400,Klinički bolnički centar Osijek
129,096,MINISTARSTVO ZDRAVSTVA,26418,Klinički bolnički centar Split
130,096,MINISTARSTVO ZDRAVSTVA,26426,Klinika za ortopediju Lovran
