Godina;Razdjel;Naziv razdjela;Glava;Naziv glave;Glavni program;Naziv glavnog programa;Program;Naziv programa;Potprogram;Naziv potprograma;Funkcijsko podruèje;Naziv funkcijskog podruèja;Izvor financiranja;Naziv izvora financiranja;Razred stavke;Naziv razreda stavke;Skupina stavke;Naziv skupine stavke;Podskupina stavke;Naziv podskupine stavke;Izvorni plan;Tekuæi plan;Izvršeno
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;311;Plaæe (Bruto);84.719.000,00;78.644.000,00;77.946.067,23
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;716.000,00;1.155.200,00;1.034.332,96
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;313;Doprinosi na plaæe;14.599.512,00;13.544.512,00;13.345.102,23
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;9.185.000,00;9.185.000,00;7.463.398,08
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;3.385.000,00;3.880.000,00;3.312.059,19
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;17.090.000,00;15.318.250,00;11.600.537,25
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;750.000,00;450.000,00;185.141,25
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;8.410.000,00;5.876.250,00;4.384.399,00
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;17.908,00;17.908,00;8.843,02
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;37;Naknade graðanima i kuæanstvima na temelju osiguranja i druge naknade;372;Ostale naknade graðanima i kuæanstvima iz proraèuna;250.000,00;250.000,00;181.306,39
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;211.000,00;711.000,00;367.513,72
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;424;Knjige, umjetnièka djela i ostale izložbene vrijednosti;85.000,00;135.000,00;84.176,27
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;31;Vlastiti prihodi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;18.000,00;18.000,00;
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;52;Ostale pomoæi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;35.000,00;35.000,00;
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501004;ODRŽAVANJE ZGRADE (NARODNO SVEUÈILIŠTE OTOÈAC);08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;36;Pomoæi dane u inozemstvo i unutar opæeg proraèuna;366;Pomoæi proraèunskim korisnicima drugih proraèuna;360.000,00;360.000,00;360.000,00
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501026;OBILJEŽAVANJE SPOMENDANA BLEIBURŠKE TRAGEDIJE I KRIŽNOG PUTA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;38;Ostali rashodi;381;Tekuæe donacije;500.000,00;500.000,00;500.000,00
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501029;OBVEZE PO SUDSKIM SPOROVIMA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;400,00;400,00;
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501029;OBVEZE PO SUDSKIM SPOROVIMA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;100,00;100,00;
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501032;SPOMEN PODRUÈJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIÈKE BORBE U RH;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;36;Pomoæi dane u inozemstvo i unutar opæeg proraèuna;366;Pomoæi proraèunskim korisnicima drugih proraèuna;200.000,00;200.000,00;200.000,00
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501032;SPOMEN PODRUÈJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIÈKE BORBE U RH;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;38;Ostali rashodi;381;Tekuæe donacije;300.000,00;300.000,00;300.000,00
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501037;OBILJEŽAVANJE SJEÆANJA NA ŽRTVE SVIH TOTALITARNIH I AUTORITARNIH REŽIMA;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;38;Ostali rashodi;381;Tekuæe donacije;100.000,00;100.000,00;
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501013;INFORMATIZACIJA HRVATSKOG SABORA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;41;Rashodi za nabavu neproizvedene dugotrajne imovine;412;Nematerijalna imovina;600.000,00;660.000,00;504.539,01
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501013;INFORMATIZACIJA HRVATSKOG SABORA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;1.000.000,00;1.000.000,00;904.985,30
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501013;INFORMATIZACIJA HRVATSKOG SABORA;01;Opæe javne usluge;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;426;Nematerijalna proizvedena imovina;500.000,00;550.000,00;456.862,50
2017;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;K501027;SABORSKA TELEVIZIJA;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;4;Rashodi za nabavu nefinancijske imovine;42;Rashodi za nabavu proizvedene dugotrajne imovine;422;Postrojenja i oprema;25.000,00;45.000,00;29.058,89
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;321;Naknade troškova zaposlenima;60.000,00;6.000,00;5.805,00
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;322;Rashodi za materijal i energiju;55.000,00;55.000,00;54.957,01
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;10.010.000,00;9.917.500,00;9.701.494,83
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;15.000,00;13.000,00;12.484,95
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896001;PROVEDBA IZBORA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;36;Pomoæi dane u inozemstvo i unutar opæeg proraèuna;363;Pomoæi unutar opæeg proraèuna;;6.000,00;6.000,00
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896002;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;311;Plaæe (Bruto);4.012.500,00;3.578.888,00;3.465.108,26
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896002;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;25.288,00;67.962,00;41.710,10
2017;012;DRŽAVNO IZBORNO POVJERENSTVO REPUBLIKE HRVATSKE;01205;Državno izborno povjerenstvo Republike Hrvatske;21;POLITIÈKI SUSTAV;2124;PROVEDBA IZBORA I REFERENDUMA;A896002;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;313;Doprinosi na plaæe;693.463,00;597.040,00;558.131,38
