Godina;Razdjel;Naziv razdjela;Glava;Naziv glave;Glavni program;Naziv glavnog programa;Program;Naziv programa;Potprogram;Naziv potprograma;Funkcijsko podruèje;Naziv funkcijskog podruèja;Izvor financiranja;Naziv izvora financiranja;Razred stavke;Naziv razreda stavke;Skupina stavke;Naziv skupine stavke;Podskupina stavke;Naziv podskupine stavke;Izvorni plan;Tekuæi plan;Izvršeno
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501000;ADMINISTRACIJA I UPRAVLJANJE;01;Opæe javne usluge;52;Ostale pomoæi;3;Rashodi poslovanja;32;Materijalni rashodi;324;Naknade troškova osobama izvan radnog odnosa;50.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501004;ODRŽAVANJE ZGRADE (NARODNO SVEUÈILIŠTE OTOÈAC);08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;36;Pomoæi dane u inozemstvo i unutar opæeg proraèuna;366;Pomoæi proraèunskim korisnicima drugih proraèuna;360.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501026;OBILJEŽAVANJE SPOMENDANA BLEIBURŠKE TRAGEDIJE I KRIŽNOG PUTA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;38;Ostali rashodi;381;Tekuæe donacije;500.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501029;OBVEZE PO SUDSKIM SPOROVIMA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;31;Rashodi za zaposlene;312;Ostali rashodi za zaposlene;400,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501029;OBVEZE PO SUDSKIM SPOROVIMA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;323;Rashodi za usluge;1.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501029;OBVEZE PO SUDSKIM SPOROVIMA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;32;Materijalni rashodi;329;Ostali nespomenuti rashodi poslovanja;1.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501029;OBVEZE PO SUDSKIM SPOROVIMA;01;Opæe javne usluge;11;Opæi prihodi i primi;3;Rashodi poslovanja;34;Financijski rashodi;343;Ostali financijski rashodi;100,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501032;SPOMEN PODRUÈJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIÈKE BORBE U RH;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;36;Pomoæi dane u inozemstvo i unutar opæeg proraèuna;366;Pomoæi proraèunskim korisnicima drugih proraèuna;200.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501032;SPOMEN PODRUÈJE JASENOVAC I OBILJEŽAVANJE ANTIFAŠISTIÈKE BORBE U RH;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;38;Ostali rashodi;381;Tekuæe donacije;300.000,00;;
2019;010;HRVATSKI SABOR;01005;Hrvatski sabor;21;POLITIÈKI SUSTAV;2101;PROVOÐENJE ZAKONODAVNE VLASTI;A501037;OBILJEŽAVANJE SJEÆANJA NA ŽRTVE SVIH TOTALITARNIH I AUTORITARNIH REŽIMA;08;Rekreacija, kultura i religija;11;Opæi prihodi i primi;3;Rashodi poslovanja;38;Ostali rashodi;381;Tekuæe donacije;100.000,00;;
