value,activity_id,administrative_classification_id,date_id,economic_classification_id,fin_source_id,functional_classification_id
2891000,9,4,3,3,1,1
2565000,9,4,1,4,1,1
2590000,9,4,2,4,1,1
2590000,9,4,3,4,1,1
470000,9,4,1,5,1,1
470000,9,4,2,5,1,1
470000,9,4,3,5,1,1
2545000,9,4,1,6,1,1
2210000,9,4,2,6,1,1
2225000,9,4,3,6,1,1
60000,9,4,1,7,1,1
90000,9,4,2,7,1,1
90000,9,4,3,7,1,1
1818000,9,4,1,8,1,1
1668000,9,4,2,8,1,1
1718000,9,4,3,8,1,1
23000,9,4,1,11,1,1
23000,9,4,2,11,1,1
23000,9,4,3,11,1,1
400000,9,4,1,20,1,1
400000,9,4,2,20,1,1
400000,9,4,3,20,1,1
170000,9,4,1,30,1,1
250000,9,4,2,30,1,1
330000,9,4,3,30,1,1
2500,9,4,1,32,1,1
2500,9,4,2,32,1,1
2500,9,4,3,32,1,1
35000,10,4,1,4,1,1
35000,10,4,2,4,1,1
35000,10,4,3,4,1,1
3220000,10,4,1,5,1,1
2670000,10,4,2,5,1,1
2670000,10,4,3,5,1,1
4125000,10,4,1,6,1,1
3806000,10,4,2,6,1,1
4021000,10,4,3,6,1,1
1000,10,4,1,7,1,1
1000,10,4,2,7,1,1
1000,10,4,3,7,1,1
5000,10,4,1,8,1,1
5000,10,4,2,8,1,1
5000,10,4,3,8,1,1
20000,10,4,1,11,1,1
20000,10,4,2,11,1,1
20000,10,4,3,11,1,1
600000,10,4,1,5,7,1
600000,10,4,2,5,7,1
600000,10,4,3,5,7,1
500,11,4,1,2,1,1
500,11,4,2,2,1,1
500,11,4,3,2,1,1
500,11,4,1,11,1,1
500,11,4,2,11,1,1
500,11,4,3,11,1,1
490000,12,4,1,28,1,1
520000,12,4,2,28,1,1
520000,12,4,3,28,1,1
250000,12,4,1,30,1,1
300000,12,4,2,30,1,1
300000,12,4,3,30,1,1
30000,12,4,1,34,1,1
50000,12,4,2,34,1,1
50000,12,4,3,34,1,1
1000,13,4,1,33,1,1
1000,13,4,2,33,1,1
1000,13,4,3,33,1,1
19611930,16,5,1,1,1,1
19814080,16,5,2,1,1,1
19951600,16,5,3,1,1,1
260000,16,5,1,2,1,1
140000,16,5,2,2,1,1
150000,16,5,3,2,1,1
3373254,16,5,1,3,1,1
3408022,16,5,2,3,1,1
3431675,16,5,3,3,1,1
710881,16,5,1,4,1,1
660000,16,5,2,4,1,1
685000,16,5,3,4,1,1
875000,16,5,1,5,1,1
903000,16,5,2,5,1,1
970000,16,5,3,5,1,1
1211979,16,5,1,6,1,1
1040000,16,5,2,6,1,1
1201000,16,5,3,6,1,1
205000,16,5,1,8,1,1
177000,16,5,2,8,1,1
204000,16,5,3,8,1,1
4000,16,5,1,11,1,1
3749,16,5,2,11,1,1
3984,16,5,3,11,1,1
130000,16,5,1,30,1,1
22000,16,5,2,30,1,1
50000,16,5,3,30,1,1
15000,16,5,1,35,1,1
20000,16,5,2,35,1,1
20000,16,5,3,35,1,1
200000,17,5,1,4,1,1
140000,17,5,2,4,1,1
180000,17,5,3,4,1,1
20000,17,5,1,6,1,1
20000,17,5,2,6,1,1
30000,17,5,3,6,1,1
110000,17,5,1,8,1,1
82000,17,5,2,8,1,1
120000,17,5,3,8,1,1
140000,18,5,1,6,1,1
100000,18,5,2,6,1,1
120000,18,5,3,6,1,1
116000,19,5,1,6,1,1
116000,19,5,2,6,1,1
116000,19,5,3,6,1,1
271000,19,5,1,30,1,1
230000,19,5,2,30,1,1
283000,19,5,3,30,1,1
570000,20,5,1,6,1,1
570000,20,5,2,6,1,1
600000,20,5,3,6,1,1
6628940,1195,6,1,1,1,4
6781940,1195,6,2,1,1,4
6944400,1195,6,3,1,1,4
207500,1195,6,1,2,1,4
60000,1195,6,2,2,1,4
60000,1195,6,3,2,1,4
1071160,1195,6,1,3,1,4
1119774,1195,6,2,3,1,4
1147483,1195,6,3,3,1,4
339000,1195,6,1,4,1,4
328000,1195,6,2,4,1,4
328000,1195,6,3,4,1,4
205000,1195,6,1,5,1,4
254000,1195,6,2,5,1,4
254000,1195,6,3,5,1,4
1882500,1195,6,1,6,1,4
1894500,1195,6,2,6,1,4
1894500,1195,6,3,6,1,4
42533,1195,6,1,8,1,4
39500,1195,6,2,8,1,4
39500,1195,6,3,8,1,4
4000,1195,6,1,11,1,4
4000,1195,6,2,11,1,4
4000,1195,6,3,11,1,4
44000,1195,6,1,30,1,4
21000,1195,6,2,30,1,4
21000,1195,6,3,30,1,4
7945,1195,6,1,7,12,4
,1195,6,2,7,12,4
,1195,6,3,7,12,4
90000,1195,6,1,4,14,4
90000,1195,6,2,4,14,4
90000,1195,6,3,4,14,4
5000,1196,6,1,6,1,4
5000,1196,6,2,6,1,4
5000,1196,6,3,6,1,4
30000,1196,6,1,7,1,4
30000,1196,6,2,7,1,4
30000,1196,6,3,7,1,4
16000,1196,6,1,8,1,4
6000,1196,6,2,8,1,4
6000,1196,6,3,8,1,4
131200,1197,6,1,6,1,4
491500,1197,6,2,6,1,4
541500,1197,6,3,6,1,4
74000,1197,6,1,30,1,4
60000,1197,6,2,30,1,4
100000,1197,6,3,30,1,4
7229500,21,7,1,1,1,1
8952000,21,7,2,1,1,1
8996000,21,7,3,1,1,1
152000,21,7,1,2,1,1
77000,21,7,2,2,1,1
140000,21,7,3,2,1,1
1245500,21,7,1,3,1,1
1541000,21,7,2,3,1,1
1548000,21,7,3,3,1,1
492000,21,7,1,4,1,1
641000,21,7,2,4,1,1
641000,21,7,3,4,1,1
1450000,21,7,1,5,1,1
1400000,21,7,2,5,1,1
1400000,21,7,3,5,1,1
3811500,21,7,1,6,1,1
4232500,21,7,2,6,1,1
4252000,21,7,3,6,1,1
20000,21,7,1,7,1,1
20000,21,7,2,7,1,1
20000,21,7,3,7,1,1
233200,21,7,1,8,1,1
233200,21,7,2,8,1,1
233200,21,7,3,8,1,1
8200,21,7,1,11,1,1
7200,21,7,2,11,1,1
7200,21,7,3,11,1,1
230000,21,7,1,30,1,1
100000,21,7,2,30,1,1
100000,21,7,3,30,1,1
6845000,22,7,1,20,1,8
6900000,22,7,2,20,1,8
6900000,22,7,3,20,1,8
180000,23,7,1,6,1,1
180000,23,7,2,6,1,1
180000,23,7,3,6,1,1
500,24,7,1,11,1,1
500,24,7,2,11,1,1
500,24,7,3,11,1,1
100000,24,7,1,20,1,1
100000,24,7,2,20,1,1
100000,24,7,3,20,1,1
146800,28,7,1,6,1,1
146800,28,7,2,6,1,1
146800,28,7,3,6,1,1
550000,28,7,1,28,1,1
410000,28,7,2,28,1,1
410000,28,7,3,28,1,1
715000,28,7,1,30,1,1
435000,28,7,2,30,1,1
435000,28,7,3,30,1,1
45000,28,7,1,34,1,1
45000,28,7,2,34,1,1
45000,28,7,3,34,1,1
5188750,27,8,1,1,1,1
5603000,27,8,2,1,1,1
5630000,27,8,3,1,1,1
156750,27,8,1,2,1,1
40000,27,8,2,2,1,1
40000,27,8,3,2,1,1
896000,27,8,1,3,1,1
965000,27,8,2,3,1,1
969000,27,8,3,3,1,1
896000,27,8,1,4,1,1
906000,27,8,2,4,1,1
906000,27,8,3,4,1,1
192700,27,8,1,5,1,1
162700,27,8,2,5,1,1
162700,27,8,3,5,1,1
896500,27,8,1,6,1,1
859500,27,8,2,6,1,1
859500,27,8,3,6,1,1
15000,27,8,1,7,1,1
15000,27,8,2,7,1,1
15000,27,8,3,7,1,1
68900,27,8,1,8,1,1
68900,27,8,2,8,1,1
68900,27,8,3,8,1,1
6000,27,8,1,11,1,1
5500,27,8,2,11,1,1
5500,27,8,3,11,1,1
41000,27,8,1,30,1,1
31000,27,8,2,30,1,1
31000,27,8,3,30,1,1
6000,27,8,1,7,12,1
,27,8,2,7,12,1
,27,8,3,7,12,1
55000,31,8,1,30,1,1
15000,31,8,2,30,1,1
15000,31,8,3,30,1,1
2884000,32,9,1,1,1,8
3036000,32,9,2,1,1,8
3051000,32,9,3,1,1,8
54750,32,9,1,2,1,8
40000,32,9,2,2,1,8
51000,32,9,3,2,1,8
491000,32,9,1,3,1,8
523000,32,9,2,3,1,8
525000,32,9,3,3,1,8
242000,32,9,1,4,1,8
265000,32,9,2,4,1,8
265000,32,9,3,4,1,8
84000,32,9,1,5,1,8
84000,32,9,2,5,1,8
84000,32,9,3,5,1,8
603500,32,9,1,6,1,8
579500,32,9,2,6,1,8
579500,32,9,3,6,1,8
5000,32,9,1,7,1,8
5000,32,9,2,7,1,8
5000,32,9,3,7,1,8
