_fdp__id_,admin1_code,admin1_label,admin2_code,admin2_label
102,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07725,Državni zavod za zaštitu prirode
103,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07730,Hrvatska agencija za okoliš i prirodu
104,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07735,Hrvatska agencija za obvezne zalihe nafte i naftnih derivata
105,077,MINISTARSTVO ZAŠTITE OKOLIŠA I ENERGETIKE,07740,Centar za praćenje poslovanja energetskog sektora i investicija
106,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08005,"Ministarstvo znanosti, obrazovanja i sporta"
107,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08006,Sveučilišta i veleučilišta u Republici Hrvatskoj
108,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08008,Javni instituti u Republici Hrvatskoj
109,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,08012,Državni zavod za intelektualno vlasništvo
110,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,21836,Nacionalna i sveučilišna knjižnica
111,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,21852,Hrvatska akademska i istraživačka mreža Carnet
112,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,21869,Leksikografski zavod Miroslav Krleža
113,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,23665,Sveučilišni računski centar SRCE
114,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,23962,Agencija za odgoj i obrazovanje
115,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,38487,Agencija za znanost i visoko obrazovanje
116,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,40883,Nacionalni centar za vanjsko vrednovanje obrazovanja
117,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,43335,Agencija za mobilnost i programe Europske unije
118,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,45871,Hrvatski mjeriteljski institut
119,080,MINISTARSTVO ZNANOSTI I OBRAZOVANJA,46173,Agencija za strukovno obrazovanje i obrazovanje odraslih
120,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08605,Ministarstvo rada i mirovinskoga sustava
121,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08620,Hrvatski zavod za mirovinsko osiguranje
122,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08625,Hrvatski zavod za zapošljavanje
123,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08635,"Zavod za vještačenje, profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom"
124,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08640,Zavod za unapređivanje zaštite na radu
125,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08645,Središnji registar osiguranika
126,086,MINISTARSTVO RADA I MIROVINSKOGA SUSTAVA,08650,Agencija za osiguranje radničkih potraživanja u slučaju stečaja poslodavca
127,090,MINISTARSTVO TURIZMA,09005,Ministarstvo turizma
128,095,MINISTARSTVO UPRAVE,09505,Ministarstvo uprave
129,095,MINISTARSTVO UPRAVE,09510,Uredi državne uprave u županijama
130,095,MINISTARSTVO UPRAVE,09515,Državna škola za javnu upravu
131,096,MINISTARSTVO ZDRAVSTVA,09605,Ministarstvo zdravlja
132,096,MINISTARSTVO ZDRAVSTVA,23616,Imunološki zavod
133,096,MINISTARSTVO ZDRAVSTVA,26346,Hrvatski zavod za javno zdravstvo
134,096,MINISTARSTVO ZDRAVSTVA,26354,Hrvatski zavod za transfuzijsku medicinu
135,096,MINISTARSTVO ZDRAVSTVA,26379,Klinički bolnički centar Rijeka
136,096,MINISTARSTVO ZDRAVSTVA,26387,Klinička bolnica Merkur
137,096,MINISTARSTVO ZDRAVSTVA,26395,Klinički bolnički centar Sestre milosrdnice
138,096,MINISTARSTVO ZDRAVSTVA,26400,Klinički bolnički centar Osijek
139,096,MINISTARSTVO ZDRAVSTVA,26418,Klinički bolnički centar Split
140,096,MINISTARSTVO ZDRAVSTVA,26426,Klinika za ortopediju Lovran
141,096,MINISTARSTVO ZDRAVSTVA,26459,Klinika za infektivne bolesti dr. Fran Mihaljević
142,096,MINISTARSTVO ZDRAVSTVA,26563,Hrvatski zavod za zaštitu zdravlja i sigurnost na radu
143,096,MINISTARSTVO ZDRAVSTVA,26571,Klinička bolnica Dubrava
144,096,MINISTARSTVO ZDRAVSTVA,38069,Klinički bolnički centar Zagreb
145,096,MINISTARSTVO ZDRAVSTVA,38655,Dom zdravlja Ministarstva unutarnjih poslova Republike Hrvatske
146,096,MINISTARSTVO ZDRAVSTVA,41128,Hrvatski zavod za telemedicinu
147,096,MINISTARSTVO ZDRAVSTVA,43191,Agencija za kvalitetu i akreditaciju u zdravstvu i socijalnoj skrbi
148,096,MINISTARSTVO ZDRAVSTVA,44573,Hrvatski zavod za hitnu medicinu
149,096,MINISTARSTVO ZDRAVSTVA,47893,Klinika za dječje bolesti Zagreb
150,102,"MINISTARSTVO ZA DEMOGRAFIJU, OBITELJ, MLADE I SOCIJALNU POLITIKU",10205,Ministarstvo socijalne politike i mladih
151,102,"MINISTARSTVO ZA DEMOGRAFIJU, OBITELJ, MLADE I SOCIJALNU POLITIKU",10208,Proračunski  korisnici u socijalnoj skrbi
152,106,HRVATSKA AKADEMIJA ZNANOSTI I UMJETNOSTI,10605,Hrvatska akademija znanosti i umjetnosti
153,110,MINISTARSTVO PRAVOSUĐA,11005,Ministarstvo pravosuđa
154,110,MINISTARSTVO PRAVOSUĐA,11006,Pravosudna akademija
155,110,MINISTARSTVO PRAVOSUĐA,11010,Zatvori i kaznionice
156,110,MINISTARSTVO PRAVOSUĐA,11015,Vrhovni sud Republike Hrvatske
157,110,MINISTARSTVO PRAVOSUĐA,11020,Visoki trgovački sud Republike Hrvatske
158,110,MINISTARSTVO PRAVOSUĐA,11025,Visoki upravni sud Republike Hrvatske
159,110,MINISTARSTVO PRAVOSUĐA,11027,Upravni sudovi
160,110,MINISTARSTVO PRAVOSUĐA,11030,Državno odvjetništvo Republike Hrvatske
161,110,MINISTARSTVO PRAVOSUĐA,11035,Državnoodvjetničko vijeće
162,110,MINISTARSTVO PRAVOSUĐA,11036,Državno sudbeno vijeće
163,110,MINISTARSTVO PRAVOSUĐA,11040,Visoki prekršajni sud Republike Hrvatske
164,110,MINISTARSTVO PRAVOSUĐA,11045,Županijski sudovi
165,110,MINISTARSTVO PRAVOSUĐA,11050,Trgovački sudovi
166,110,MINISTARSTVO PRAVOSUĐA,11055,Županijska državna odvjetništva
167,110,MINISTARSTVO PRAVOSUĐA,11065,Općinski sudovi
168,110,MINISTARSTVO PRAVOSUĐA,11070,Općinska državna odvjetništva
169,110,MINISTARSTVO PRAVOSUĐA,11075,Prekršajni sudovi
170,110,MINISTARSTVO PRAVOSUĐA,11091,Ured za suzbijanje korupcije i organiziranog kriminaliteta
171,120,URED PUČKOG PRAVOBRANITELJA,12005,Ured pučkog pravobranitelja
172,121,PRAVOBRANITELJ ZA DJECU,12105,Pravobranitelj za djecu
173,122,PRAVOBRANITELJ/ICA ZA RAVNOPRAVNOST SPOLOVA,12205,Pravobranitelj/ica za ravnopravnost spolova
174,123,PRAVOBRANITELJ ZA OSOBE S INVALIDITETOM,12305,Pravobranitelj za osobe s invaliditetom
175,160,DRŽAVNI ZAVOD ZA STATISTIKU,16005,Državni zavod za statistiku
176,185,DRŽAVNI URED ZA REVIZIJU,18505,Državni ured za reviziju
177,196,DRŽAVNA KOMISIJA ZA KONTROLU POSTUPAKA JAVNE NABAVE,19605,Državna komisija za kontrolu postupaka javne nabave
178,250,AGENCIJA ZA ZAŠTITU OSOBNIH PODATAKA,25005,Agencija za zaštitu osobnih podataka
179,256,DRŽAVNI ZAVOD ZA RADIOLOŠKU I NUKLEARNU SIGURNOST,25605,Državni zavod za radiološku i nuklearnu sigurnost
180,258,POVJERENIK ZA INFORMIRANJE,25805,Povjerenik za informiranje
